数据集,填补模型,下游模型,掩码率,直接预测,0填充,均值,最近邻,线性,单独,lambda=0,lambda=0.5,lambda=1,lambda可学习,学习到的lambda,随机种子
ECL,TimesNet,TimesNet,25.0%,0.1692,0.172,0.1693251430988311,0.1731,0.1696,0.1704,0.1738,0.1674,0.1678,0.1691,0.7422,2021
ECL,TimesNet,TimesNet,37.5%,0.1692,0.182,0.1729800999164581,0.1696,0.1726,0.1732,0.1759,0.1682,0.1674,0.1689,0.7342,2021
ECL,TimesNet,TimesNet,50.0%,0.1692,0.1948,0.178966149687767,0.1715,0.1747,0.1731,0.1801,0.1692,0.1694,0.1685,0.7366,2021
ECL,TimesNet,TimesNet,62.5%,0.1692,0.2126,0.186631754040718,0.1796,0.1937,0.1747,0.1958,0.1741,0.1743,0.1748,0.7425,2021
ECL,TimesNet,TimesNet,75.0%,0.1692,0.2432,0.2019658684730529,0.1945,0.2764,0.1858,0.2007,0.1863,0.1884,0.1892,0.9081,2021
ECL,MICN,MICN,12.5%,0.1614,,0.1524678021669387,,0.084237834820466,0.1515,0.1497,0.1539,0.1538,0.1685,0.9569,2021
ECL,MICN,MICN,25.0%,0.1614,,0.155759796500206,,0.1030304686900991,0.1498,0.1518,0.1509,0.1504,0.1711,0.946,2021
ECL,MICN,MICN,37.5%,0.1614,,0.1604272276163101,,0.1338319929999224,0.1503,0.1537,0.153,0.1524,0.1643,0.8409,2021
ECL,MICN,MICN,50.0%,0.1614,,0.17042276263237,,0.1899418883164476,0.1574,0.159,0.1579,0.1582,0.1656,0.981,2021
ECL,MICN,MICN,62.5%,0.1614,,0.1787330508232116,,0.31338899096717,0.1699,0.1688,0.1716,0.1687,0.17,0.794,2021
ECL,MICN,MICN,75.0%,0.1614,,0.1970821321010589,,0.6694851255750064,0.1949,0.1824,0.1879,0.1887,0.19,0.0906,2021
Weather,TimesNet,TimesNet,12.5%,0.1706,0.1969,0.1678736805915832,0.1674,0.1677,0.1727,0.1733,0.1708,0.1703,0.171,0.6858,2021
Weather,TimesNet,TimesNet,25.0%,0.1706,0.2409,0.1686161607503891,0.1669,0.1667,0.1733,0.1833,0.1719,0.17,0.17,0.8964,2021
Weather,TimesNet,TimesNet,37.5%,0.1706,0.2449,0.1665346473455429,0.1666,0.17,0.1722,0.1894,0.1766,0.1689,0.1692,0.9107,2021
Weather,TimesNet,TimesNet,50.0%,0.1706,0.3848,0.1692326366901397,0.1673,0.1759,0.174,0.2043,0.1776,0.1724,0.1715,0.9144,2021
Weather,TimesNet,TimesNet,62.5%,0.1706,0.4859,0.1730035841464996,0.1693,0.173,0.1743,0.2099,0.1807,0.1772,0.175,0.7881,2021
Weather,TimesNet,TimesNet,75.0%,0.1706,0.6052,0.177415058016777,0.1688,0.1802,0.1795,0.2051,0.1857,0.1845,0.1808,0.8994,2021
Weather,MICN,MICN,12.5%,0.1657,0.6315067013028575,0.1675643920898437,0.0385786036650458,0.0274080821681493,0.1697,0.1736,0.1842,0.182,0.1908,0.9553,2021
Weather,MICN,MICN,25.0%,0.1657,0.6337401960730735,0.1682091057300567,0.0399846852009978,0.0304093506827127,0.17,0.1739,0.1831,0.1844,0.1954,0.7141,2021
Weather,MICN,MICN,37.5%,0.1657,0.6335179977507496,0.1703668534755706,0.041568040913128,0.0338754759657916,0.1707,0.1721,0.1776,0.1798,0.197,0.8218,2021
Weather,MICN,MICN,50.0%,0.1657,0.6329457872758614,0.1728033423423767,0.0450373735001019,0.0409219668338223,0.1712,0.1789,0.1809,0.1849,0.1983,0.8947,2021
Weather,MICN,MICN,62.5%,0.1657,0.6334080730959133,0.2026042938232422,0.0495842786304412,0.0553782862276153,0.1778,0.1815,0.1795,0.1844,0.2084,0.9127,2021
Weather,MICN,MICN,75.0%,0.1657,0.6331239303036884,0.205713003873825,0.0580224471675243,0.0877697852453034,0.1866,0.1874,0.1948,0.193,0.2037,0.9827,2021
ETTm1,TimesNet,TimesNet,12.5%,,,0.332757294178009,0.3312854468822479,0.3314784467220306,,,,,,,2024
ETTm1,TimesNet,TimesNet,25.0%,,,0.3363308310508728,0.3321532607078552,0.3328755795955658,,,,,,,2024
ETTm1,TimesNet,TimesNet,37.5%,,,0.3402997255325317,0.3328109383583069,0.3330711424350738,,,,,,,2024
ETTm1,TimesNet,TimesNet,50.0%,,,0.3465695977210998,0.3336188197135925,0.3353746235370636,,,,,,,2024
ETTm1,TimesNet,TimesNet,62.5%,,,0.3583229780197143,0.3377595245838165,0.342179000377655,,,,,,,2024
ETTm1,TimesNet,TimesNet,75.0%,,,0.3772031366825104,0.3442685306072235,0.3634544610977173,,,,,,,2024
ETTm1,MICN,MICN,12.5%,,,0.3378081619739532,0.3361903131008148,0.3303090035915375,,,,,,,2024
ETTm1,MICN,MICN,25.0%,,,0.3314462900161743,0.3323937356472015,0.3315450251102447,,,,,,,2024
ETTm1,MICN,MICN,37.5%,,,0.3279917240142822,0.3282841444015503,0.3328831493854522,,,,,,,2024
ETTm1,MICN,MICN,50.0%,,,0.3305812180042267,0.3281955420970917,0.3333568572998047,,,,,,,2024
ETTm1,MICN,MICN,62.5%,,,0.3283311128616333,0.332111656665802,0.3368656635284424,,,,,,,2024
ETTm1,MICN,MICN,75.0%,,,0.335004061460495,0.3347382843494415,0.3464442789554596,,,,,,,2024
ETTh1,TimesNet,TimesNet,12.5%,,,0.4126875102519989,0.4131763577461242,0.4138774275779724,,,,,,,2024
ETTh1,TimesNet,TimesNet,25.0%,,,0.4139642715454101,0.4128949046134949,0.4140572249889374,,,,,,,2024
ETTh1,TimesNet,TimesNet,37.5%,,,0.4166293144226074,0.4147067964076996,0.4135417938232422,,,,,,,2024
ETTh1,TimesNet,TimesNet,50.0%,,,0.406533271074295,0.415943443775177,0.4137965142726898,,,,,,,2024
ETTh1,TimesNet,TimesNet,62.5%,,,0.4171044826507568,0.4229346811771393,0.4233930706977844,,,,,,,2024
ETTh1,TimesNet,TimesNet,75.0%,,,0.4333330988883972,0.4506330490112304,0.4805160164833069,,,,,,,2024
ETTh1,MICN,MICN,12.5%,,,0.4645404517650604,0.4149574041366577,0.4140630066394806,,,,,,,2024
ETTh1,MICN,MICN,25.0%,,,0.4424123466014862,0.4117128551006317,0.4123611748218536,,,,,,,2024
ETTh1,MICN,MICN,37.5%,,,0.4293971359729767,0.4608702063560486,0.4126337766647339,,,,,,,2024
ETTh1,MICN,MICN,50.0%,,,0.447487324476242,0.4558697342872619,0.459439218044281,,,,,,,2024
ETTh1,MICN,MICN,62.5%,,,0.4349376559257507,0.456121414899826,0.449026495218277,,,,,,,2024
ETTh1,MICN,MICN,75.0%,,,0.4370132982730865,0.4858186841011047,0.4706315696239471,,,,,,,2024
ECL,TimesNet,TimesNet,12.5%,,,0.1747364103794098,0.1692084372043609,0.16771300137043,,,,,,,2024
ECL,TimesNet,TimesNet,25.0%,,,0.1754131615161895,0.1716753095388412,0.1705516576766967,,,,,,,2024
ECL,TimesNet,TimesNet,37.5%,,,0.1766008585691452,0.1733827888965606,0.1717727929353714,,,,,,,2024
ECL,TimesNet,TimesNet,50.0%,,,0.1818244159221649,0.1738917380571365,0.1755107939243316,,,,,,,2024
ECL,TimesNet,TimesNet,62.5%,,,0.1868038922548294,0.1810609996318817,0.1943913698196411,,,,,,,2024
ECL,TimesNet,TimesNet,75.0%,,,0.2047261148691177,0.1970692276954651,0.2773073315620422,,,,,,,2024
Weather,TimesNet,TimesNet,12.5%,,,0.1762910187244415,0.1757602244615554,0.1742291003465652,,,,,,,2024
Weather,TimesNet,TimesNet,25.0%,,,0.1796593517065048,0.1781268566846847,0.1752732694149017,,,,,,,2024
Weather,TimesNet,TimesNet,37.5%,,,0.1789916008710861,0.1762449443340301,0.1750976592302322,,,,,,,2024
Weather,TimesNet,TimesNet,50.0%,,,0.1903441995382309,0.1759817004203796,0.1746865808963775,,,,,,,2024
Weather,TimesNet,TimesNet,62.5%,,,0.1816243678331375,0.1758569180965423,0.1770089119672775,,,,,,,2024
Weather,TimesNet,TimesNet,75.0%,,,0.1850592494010925,0.1756182163953781,0.176838532090187,,,,,,,2024
Weather,MICN,MICN,12.5%,,,0.1675023585557937,0.1660408675670623,0.1667586863040924,,,,,,,2024
Weather,MICN,MICN,25.0%,,,0.1697822958230972,0.1667410433292389,0.1672393530607223,,,,,,,2024
Weather,MICN,MICN,37.5%,,,0.1695396900177002,0.1672859787940979,0.1687416434288025,,,,,,,2024
Weather,MICN,MICN,50.0%,,,0.1725067794322967,0.1685339659452438,0.1720833778381347,,,,,,,2024
Weather,MICN,MICN,62.5%,,,0.1763201653957367,0.1702857911586761,0.176255002617836,,,,,,,2024
Weather,MICN,MICN,75.0%,,,0.180120587348938,0.1743404120206833,0.1837127208709716,,,,,,,2024
