数据集,下游模型,填补方法,掩码率,填补MSE,填补MAE,下游MSE,下游MAE,种子,日期,是否汇入总表
Weather,MICN,nearest,50.0%,0.0450373735001019,0.045817404105528,0.1678231954574585,0.2159243673086166,2021,2024-09-22  08:31:52,1
Weather,MICN,nearest,62.5%,0.0495842786304412,0.0499805328779014,0.1713879108428955,0.2169722318649292,2021,2024-09-22  09:43:01,1
Weather,MICN,nearest,75.0%,0.0580224471675243,0.0578042228671899,0.1740119904279709,0.220951110124588,2021,2024-09-22  12:04:47,1
Weather,MICN,linear,12.5%,0.0274080821681493,0.0313904549486569,0.1658184081315994,0.2133326828479766,2021,2024-09-22  13:34:24,1
ECL,MICN,linear,25.0%,0.1030304686900991,0.203859003897039,0.1546054482460022,0.2577318847179413,2021,2024-09-22  14:20:31,1
Weather,MICN,linear,25.0%,0.0304093506827127,0.0333180715575631,0.1674637794494629,0.2149816155433654,2021,2024-09-22  15:04:27,1
ETTh1,MICN,no,12.5%,1.112747463686713,0.7962550496918032,0.4500188529491424,0.434743195772171,2021,2024-09-22  15:33:28,1
ETTh1,MICN,no,25.0%,1.1163828297593128,0.7974333948102491,0.4407381415367126,0.4453444182872772,2021,2024-09-22  15:35:50,1
ETTh1,MICN,no,37.5%,1.1169764111781944,0.7976010500014513,0.4641483724117279,0.4738176167011261,2021,2024-09-22  15:38:15,1
ETTh1,MICN,no,50.0%,1.11626746496935,0.7972499978268284,0.5198813676834106,0.5148378610610962,2021,2024-09-22  15:42:45,1
ETTh1,MICN,no,62.5%,1.1157748270993946,0.7970356790498755,0.6186186075210571,0.5908859968185425,2021,2024-09-22  15:47:21,1
ETTh1,MICN,no,75.0%,1.116253349630312,0.797289976100812,0.6334636211395264,0.597119927406311,2021,2024-09-22  15:51:07,1
ETTh1,MICN,mean,12.5%,0.6400961386061262,0.5271806314416315,0.4513964354991913,0.4307950437068939,2021,2024-09-22  15:53:14,1
ETTh1,MICN,mean,25.0%,0.6392283634892826,0.5267893711383316,0.4426210820674896,0.4276855587959289,2021,2024-09-22  15:56:11,1
ETTh1,MICN,mean,37.5%,0.6394904836498457,0.5269987273147736,0.4240895509719848,0.4235873222351074,2021,2024-09-22  15:58:39,1
ETTh1,MICN,mean,50.0%,0.6384063786131212,0.526561087061619,0.4176456928253174,0.4231482744216919,2021,2024-09-22  16:01:05,1
ETTh1,MICN,mean,62.5%,0.6395708844065666,0.5269120739794325,0.419418603181839,0.4267012476921081,2021,2024-09-22  16:04:16,1
ETTh1,MICN,mean,75.0%,0.6396628108689155,0.5268882334917441,0.430869996547699,0.4314357042312622,2021,2024-09-22  16:07:48,1
ETTh1,MICN,nearest,12.5%,0.1824305564079476,0.2620597032979987,0.4036566913127899,0.4142806529998779,2021,2024-09-22  16:10:48,1
ETTh1,MICN,nearest,25.0%,0.1980868065408591,0.2701386641496899,0.4568542242050171,0.4355292022228241,2021,2024-09-22  16:14:42,1
ETTh1,MICN,nearest,37.5%,0.2216617787877718,0.2818452332211636,0.4827135503292084,0.4419702291488647,2021,2024-09-22  16:19:04,1
ETTh1,MICN,nearest,50.0%,0.2647022816042105,0.3021911780895858,0.4857911765575409,0.4459690749645233,2021,2024-09-22  16:23:02,1
ETTh1,MICN,nearest,62.5%,0.3465765268895133,0.3372250982057089,0.4771278500556946,0.4517028629779815,2021,2024-09-22  16:27:57,1
ETTh1,MICN,nearest,75.0%,0.505390247822493,0.4005378214963551,0.4950838088989258,0.4547308683395386,2021,2024-09-22  16:34:10,1
ETTh1,MICN,linear,12.5%,0.0902413406634125,0.189417520944757,0.4031614959239959,0.4137238562107086,2021,2024-09-22  16:37:23,1
ETTh1,MICN,linear,25.0%,0.1096649991412615,0.2050939895555205,0.465017706155777,0.4377911686897278,2021,2024-09-22  16:41:01,1
ETTh1,MICN,linear,37.5%,0.1392088328413237,0.2256823476275493,0.4499542415142059,0.4312462508678436,2021,2024-09-22  16:45:02,1
ETTh1,MICN,linear,50.0%,0.2003560439608563,0.2570147429560793,0.4422271251678467,0.430846244096756,2021,2024-09-22  16:48:40,1
ETTh1,MICN,linear,62.5%,0.3067463304975937,0.3067347653980913,0.4490927159786224,0.4348102509975433,2021,2024-09-22  16:53:13,1
ETTh1,MICN,linear,75.0%,0.6842694616523283,0.4033089046334398,0.4894776344299316,0.4497804939746856,2021,2024-09-22  17:00:40,1
Weather,MICN,linear,37.5%,0.0338754759657916,0.0356002723972421,0.1683295369148254,0.216119036078453,2021,2024-09-22  17:05:39,1
Weather,MICN,linear,75.0%,0.0877697852453034,0.0538234644872279,0.2000461220741272,0.2382141053676605,2021,2024-09-22  18:25:27,1
Weather,MICN,linear,50.0%,0.0409219668338223,0.038936232100955,0.1712453365325927,0.218473270535469,2021,2024-09-22  18:48:46,1
Weather,MICN,linear,62.5%,0.0553782862276153,0.0442030895787056,0.1776606291532516,0.2233814448118209,2021,2024-09-22  20:26:04,1
Weather,MICN,no,12.5%,0.6315067013028575,0.6048831664528583,0.1679245084524154,0.225717082619667,2021,2024-09-22  21:12:14,1
ECL,MICN,linear,37.5%,0.1338319929999224,0.2303032877837649,0.1541969776153564,0.2572056353092193,2021,2024-09-23  05:36:22,1
ECL,MICN,linear,62.5%,0.31338899096717,0.3382133128850356,0.1710040271282196,0.2735104858875274,2021,2024-09-23  06:33:40,1
ECL,MICN,linear,50.0%,0.1899418883164476,0.2703423817057787,0.1577681899070739,0.2603081464767456,2021,2024-09-23  12:51:34,1
ECL,MICN,linear,75.0%,0.6694851255750064,0.4717538108736832,0.2222216725349426,0.3189631998538971,2021,2024-09-23  14:39:27,1
ETTm1,TimesNet,mean,12.5%,0.5850609326014473,0.4960600056604636,0.3326667547225952,0.369524598121643,2024,2024-09-26  17:35:47,0
ETTm1,TimesNet,mean,25.0%,0.5839766985586784,0.4954855424177204,0.3353382349014282,0.3716887533664703,2024,2024-09-26  18:21:28,0
ETTm1,TimesNet,mean,37.5%,0.584664926400502,0.4957268519655746,0.337395429611206,0.3733418583869934,2024,2024-09-26  19:04:58,0
ETTm1,TimesNet,mean,50.0%,0.5844437647623947,0.4957033585631797,0.3421671688556671,0.3773923814296722,2024,2024-09-26  19:47:35,0
ETTm1,TimesNet,mean,62.5%,0.5844412940219749,0.4956651914536076,0.3482976257801056,0.3807154893875122,2024,2024-09-26  20:29:27,0
ETTm1,TimesNet,mean,75.0%,0.5844040999367718,0.49566064144456,0.3555149734020233,0.3868434429168701,2024,2024-09-26  21:11:03,0
ETTm1,TimesNet,nearest,12.5%,0.0552639161268867,0.1411688886269801,0.3312854468822479,0.3692748248577118,2024,2024-09-26  21:58:02,0
ETTm1,TimesNet,nearest,25.0%,0.0569782099550908,0.1432741694074092,0.3321532607078552,0.3695505261421203,2024,2024-09-26  22:48:01,0
ETTm1,TimesNet,nearest,37.5%,0.060897213823282,0.1475496638151464,0.3328109383583069,0.3700084090232849,2024,2024-09-26  23:37:36,0
